Elong,Elat,JD
0.5,5.5,2461923.5
0.5,5.5,2461923.5416666665
0.5,5.5,2461923.583333333
0.5,5.5,2461923.6249999995
0.5,5.5,2461923.666666666
0.5,5.5,2461923.7083333326
0.5,5.5,2461923.749999999
0.5,6.0,2461923.7916666656
1.0,6.0,2461923.833333332
1.0,6.0,2461923.8749999986
1.0,6.0,2461923.916666665
1.0,6.0,2461923.9583333316
1.0,6.0,2461923.999999998
1.0,6.0,2461924.0416666646
1.0,6.0,2461924.083333331
1.0,6.0,2461924.1249999977
1.0,6.0,2461924.166666664
1.0,6.0,2461924.2083333307
1.0,6.0,2461924.249999997
1.0,6.0,2461924.2916666637
1.5,6.0,2461924.33333333
1.5,6.0,2461924.3749999967
1.5,6.0,2461924.4166666633
1.5,6.0,2461924.4583333298
1.5,6.5,2461924.4999999963
1.5,6.5,2461924.541666663
1.5,6.5,2461924.5833333293
1.5,6.5,2461924.624999996
1.5,6.5,2461924.6666666623
1.5,6.5,2461924.708333329
1.5,6.5,2461924.7499999953
2.0,6.5,2461924.791666662
2.0,6.5,2461924.8333333284
2.0,6.5,2461924.874999995
2.0,6.5,2461924.9166666614
2.0,6.5,2461924.958333328
2.0,6.5,2461924.9999999944
2.0,6.5,2461925.041666661
2.0,6.5,2461925.0833333274
2.0,6.5,2461925.124999994
2.0,6.5,2461925.1666666605
2.0,6.5,2461925.208333327
2.0,6.5,2461925.2499999935
2.5,6.5,2461925.29166666
2.5,6.5,2461925.3333333265
2.5,6.5,2461925.374999993
2.5,6.5,2461925.4166666595
2.5,6.5,2461925.458333326
2.5,6.5,2461925.4999999925
2.5,6.5,2461925.541666659
2.5,6.5,2461925.5833333256
2.5,6.5,2461925.624999992
2.5,6.5,2461925.6666666586
2.5,6.5,2461925.708333325
2.5,6.5,2461925.7499999916
3.0,6.5,2461925.791666658
3.0,6.5,2461925.8333333246
3.0,6.5,2461925.874999991
3.0,6.5,2461925.9166666577
3.0,6.5,2461925.958333324
3.0,6.5,2461925.9999999907
3.0,6.5,2461926.041666657
3.0,6.5,2461926.0833333237
3.0,6.5,2461926.12499999
3.0,6.5,2461926.1666666567
3.0,6.5,2461926.2083333232
3.0,6.5,2461926.2499999898
3.0,6.5,2461926.2916666563
3.5,6.5,2461926.333333323
3.5,6.5,2461926.3749999893
3.5,6.5,2461926.416666656
3.5,6.5,2461926.4583333223
3.5,6.5,2461926.499999989
3.5,6.5,2461926.5416666553
3.5,6.5,2461926.583333322
3.5,6.5,2461926.6249999884
3.5,6.5,2461926.666666655
3.5,6.5,2461926.7083333214
3.5,6.5,2461926.749999988
3.5,6.5,2461926.7916666544
3.5,6.5,2461926.833333321
3.5,6.5,2461926.8749999874
4.0,6.5,2461926.916666654
4.0,6.5,2461926.9583333205
4.0,6.5,2461926.999999987
4.0,6.5,2461927.0416666535
4.0,6.5,2461927.08333332
4.0,6.5,2461927.1249999865
4.0,6.5,2461927.166666653
4.0,6.5,2461927.2083333195
4.0,6.5,2461927.249999986
4.0,6.5,2461927.2916666525
4.0,6.5,2461927.333333319
4.0,6.5,2461927.3749999856
4.0,6.0,2461927.416666652
4.0,6.0,2461927.4583333186
4.0,6.0,2461927.499999985
4.0,6.0,2461927.5416666516
4.5,6.0,2461927.583333318
4.5,6.0,2461927.6249999846
4.5,6.0,2461927.666666651
4.5,6.0,2461927.7083333177
4.5,6.0,2461927.749999984
4.5,6.0,2461927.7916666507
4.5,6.0,2461927.833333317
4.5,6.0,2461927.8749999837
4.5,6.0,2461927.91666665
4.5,6.0,2461927.9583333167
4.5,6.0,2461927.9999999832
4.5,6.0,2461928.0416666497
4.5,6.0,2461928.0833333163
4.5,5.5,2461928.124999983
4.5,5.5,2461928.1666666493
4.5,5.5,2461928.208333316
4.5,5.5,2461928.2499999823
4.5,5.5,2461928.291666649
4.5,5.5,2461928.3333333153
4.5,5.5,2461928.374999982
